Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DataDrivenTesting_1,Firefox 52.0,,2018-03-07 11:04:10,2018-03-07 11:05:42,"1m - 32,723s",FAILED
,,,,,,
Test Cases/TC_DataDrivenTesting_1,Firefox 52.0,,2018-03-07 11:04:10,2018-03-07 11:04:21,"10,853s",PASSED
openBrowser,Firefox 52.0,,2018-03-07 11:04:10,2018-03-07 11:04:16,"5,645s",PASSED
navigateToUrl,Firefox 52.0,,2018-03-07 11:04:16,2018-03-07 11:04:18,"2,302s",PASSED
click,Firefox 52.0,,2018-03-07 11:04:18,2018-03-07 11:04:19,"0,506s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:19,2018-03-07 11:04:19,"0,148s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:19,2018-03-07 11:04:19,"0,197s",PASSED
click,Firefox 52.0,,2018-03-07 11:04:19,2018-03-07 11:04:20,"0,540s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:20,2018-03-07 11:04:20,"0,260s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:20,2018-03-07 11:04:20,"0,142s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:20,2018-03-07 11:04:20,"0,113s",PASSED
click,Firefox 52.0,,2018-03-07 11:04:20,2018-03-07 11:04:21,"0,507s",PASSED
closeBrowser,Firefox 52.0,,2018-03-07 11:04:21,2018-03-07 11:04:21,"0,228s",PASSED
,,,,,,
Test Cases/TC_DataDrivenTesting_1,Firefox 52.0,,2018-03-07 11:04:21,2018-03-07 11:05:01,"40,409s",FAILED
openBrowser,Firefox 52.0,,2018-03-07 11:04:21,2018-03-07 11:04:25,"4,665s",PASSED
navigateToUrl,Firefox 52.0,,2018-03-07 11:04:25,2018-03-07 11:04:28,"2,193s",PASSED
click,Firefox 52.0,,2018-03-07 11:04:28,2018-03-07 11:04:28,"0,470s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:28,2018-03-07 11:04:28,"0,145s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:28,2018-03-07 11:04:28,"0,109s",PASSED
click,Firefox 52.0,,2018-03-07 11:04:28,2018-03-07 11:04:29,"0,489s",PASSED
setText,Firefox 52.0,,2018-03-07 11:04:29,2018-03-07 11:05:01,"32,325s",FAILED
,,,,,,
Test Cases/TC_DataDrivenTesting_1,Firefox 52.0,,2018-03-07 11:05:01,2018-03-07 11:05:42,"40,926s",FAILED
openBrowser,Firefox 52.0,,2018-03-07 11:05:01,2018-03-07 11:05:06,"5,243s",PASSED
navigateToUrl,Firefox 52.0,,2018-03-07 11:05:06,2018-03-07 11:05:08,"1,943s",PASSED
click,Firefox 52.0,,2018-03-07 11:05:08,2018-03-07 11:05:09,"0,484s",PASSED
setText,Firefox 52.0,,2018-03-07 11:05:09,2018-03-07 11:05:09,"0,142s",PASSED
setText,Firefox 52.0,,2018-03-07 11:05:09,2018-03-07 11:05:09,"0,192s",PASSED
click,Firefox 52.0,,2018-03-07 11:05:09,2018-03-07 11:05:10,"0,537s",PASSED
setText,Firefox 52.0,,2018-03-07 11:05:10,2018-03-07 11:05:42,"32,375s",FAILED
